"산업별",2020,2020
"산업별",부채,자본
"석탄  원유 및 천연가스 광업",0,0
"금속 광업",X,X
"비금속광물 광업(연료용 제외)",214278,299599
"광업 지원 서비스업",0,0
"식료품 제조업",30550798,38780436
"음료 제조업",6898766,8006578
"담배 제조업",2895044,8354236
"섬유제품 제조업; 의복제외",4936530,7382408
"의복, 의복액세서리 및 모피제품 제조업",9656055,12996402
"가죽, 가방 및 신발 제조업",1521796,2961536
"목재 및 나무제품 제조업;가구제외",1907016,2028196
"펄프, 종이 및 종이제품 제조업",7598893,9716871
"인쇄 및 기록매체 복제업",1255006,1117178
"코크스, 연탄 및 석유정제품 제조업",42495025,28645702
"화학물질 및 화학제품 제조업;의약품 제외",66294707,123610348
"의료용 물질 및 의약품 제조업",19005864,34875645
"고무제품 및 플라스틱제품 제조업",20155589,25470506
"비금속 광물제품 제조업",18723737,22985318
"1차 금속 제조업",58743789,104792311
"금속가공제품 제조업;기계 및 가구 제외",23223264,21377649
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",123103031,337024660
"의료, 정밀, 광학기기 및 시계 제조업",10929436,15553699
"전기장비 제조업",51628385,52632556
"기타 기계 및 장비 제조업",39732536,44421737
"자동차 및 트레일러 제조업",106819443,146198800
"기타 운송장비 제조업",45859417,25766155
"가구 제조업",1692670,2843956
"기타 제품 제조업",1046123,1602477
"산업용 기계 및 장비 수리업",270102,415014
"전기 가스 증기 및 공기조절 공급업",99395823,67315371
"하수  폐수 및 분뇨 처리업",554148,847676
"폐기물 수집운반  처리 및 원료재생업",2723255,3423012
"환경 정화 및 복원업",29731,77765
"종합건설업",113981769,94277359
"전문직별 공사업",6221346,9096190
"자동차 및 부품 판매업",9610209,4843714
"도매 및 상품중개업",83296742,78774511
"소매업; 자동차제외",83170933,63255659
"육상운송 및 파이프라인 운송업",16629450,8127429
"수상 운송업",22580033,11226732
"항공 운송업",36288003,4725393
"창고 및 운송관련 서비스업",20836845,14286155
"숙박업",25658300,15949005
"음식점 및 주점업",13888513,7662312
"출판업",25987667,42785429
"영상 오디오 기록물 제작 및 배급업",6903184,4479662
"방송업",4040180,9771851
"우편 및 통신업",45114960,44756825
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",15330003,26848371
"정보서비스업",8721450,19367479
"금융업",2711575552,382371023
"보험 및 연금업",1175785133,141634271
"금융 및 보험 관련 서비스업",582889555,74556038
"부동산업",28715430,32485145
"연구개발업",4628196,4540432
"전문서비스업",13126921,41959907
"건축기술, 엔지니어링 및 기타 과학기술 서비스업",7484159,11268820
"기타 전문, 과학 및 기술 서비스업",1851308,6644895
"사업시설 관리 및 조경 서비스업",1502642,2124258
"사업지원 서비스업",7436285,7474542
"임대업; 부동산 제외",9539859,3957933
"교육 서비스업",2835364,1437753
"보건업",220121,149095
"사회복지 서비스업",415142,108898
"창작, 예술 및 여가관련 서비스업",813295,745021
"스포츠 및 오락관련 서비스업",23669453,17262480
"개인 및 소비용품 수리업",989570,459792
"기타 개인 서비스업",5409720,-168359
